Gene_ID	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Lung_1	Lung_2	Lung_3	Lung_4	Lung_5	Lung_6	Lung_7	Lung_8	Lung_9
ENSG00000143390	2	21	5	3	28	0	33	7	36	1	3	0	11	0	7	0	1	6
ENSG00000143393	41	17	4	17	62	35	39	22	26	14	10	0	20	1	24	11	2	29
ENSG00000143398	1	0	0	0	1	1	7	0	0	5	1	0	4	0	1	11	1	2
ENSG00000143401	1	0	71	9	111	23	66	22	91	1	22	0	18	0	1	19	6	11
ENSG00000143409	719	545	684	227	936	1808	1450	975	839	359	744	350	484	211	474	364	364	528
ENSG00000143412	0	27	39	0	0	25	1	33	8	3	11	0	2	0	0	16	0	0
ENSG00000143416	52	0	0	0	140	0	0	0	0	0	35	0	21	12	2	0	0	0
ENSG00000143418	439	227	235	162	521	627	770	412	698	179	571	114	449	156	377	280	262	468
ENSG00000143420	30	26	14	5	33	19	9	63	23	20	49	33	29	8	21	16	11	13
ENSG00000143429	0	2	1	0	4	0	0	0	0	4	2	0	0	2	0	1	0	0
ENSG00000143434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2
ENSG00000143436	10	6	14	0	33	7	90	39	125	3	6	0	1	0	3	0	6	0
ENSG00000143437	45	4	1	1	82	91	89	46	22	58	66	210	60	24	27	52	26	52
ENSG00000143442	0	0	0	0	0	8	0	1	6	2	7	0	0	3	7	11	3	8
ENSG00000143450	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	2
ENSG00000143452	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000143457	2	12	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1
ENSG00000143458	0	0	0	0	0	0	5	0	0	7	1	0	13	0	6	1	1	0
ENSG00000143466	3	0	0	0	26	0	13	0	65	0	1	0	5	0	0	3	9	0
ENSG00000143476	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000143479	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000143486	0	20	0	29	0	0	44	0	163	8	6	0	7	0	12	0	1	0
ENSG00000143493	57	0	5	0	0	0	0	0	14	7	1	0	8	16	1	13	2	6
ENSG00000143498	12	0	17	0	0	0	14	0	0	0	0	0	1	0	0	0	2	0
